uuid,part_number,name,description,vehicle_engine,tags,make,aed_buying_price,selling_price,stock_qty,min_stock
8f43da65-2072-44b2-8cff-0cb173b78555,16361-17040,Fun,,LAND CRUISER 79,"toyota,genuine",MK,646.78,0,6,5
947627ea-9440-4909-b143-19822f2d89c6,04371-60060,Universal joint FRONT,,LAND CRUISER 70 Series,"toyota,genuine",Genuine,686.0,0,27,5
010b6608-f10a-4fe8-89e5-a65297d88f49,M720AI,Main Bearing(0.50),,1KD/2KD/1KZ,"toyota,genuine",All Parts,439.85,0,24,5
efcb7887-b372-4b49-8075-b99b3cd555ce,17567-17020,Exhaust Mountain,,LAND CRUISER 70 Series,"toyota,genuine",Genuine,550.5,0,38,5
d94f1264-07dc-45e7-90e5-425b17ae52f6,13711-54050,Exhaust Valve,,HIACE 5L,"toyota,genuine",Taiho,836.7,0,15,5
0e90092f-4598-42a7-9116-25ae2d923262,Wheel-Nut,LAND CRUISER 79,,Genuine,"toyota,genuine",GMB Japan,1642.03,0,46,5
3728cca9-8c98-4483-92fc-0b99492cfa5d,35892,Piston rings(0.50),,3L,"toyota,genuine",Digue,82.39,0,34,5
d786e86e-8da4-47f3-b025-90b9b1d6d983,23380-17541,Feed Pump,,LAND CRUISER 79,"toyota,genuine",Koyo japan,1066.57,0,29,5
a49ce05c-fb02-4905-a1ec-8baddb51ccbf,13103-30102,Piston(0.50),,LAND CRUISER 79,"toyota,genuine",Genuine,1191.47,0,8,5
04a42062-4e64-4507-8ee5-07d428fbe486,04311-6100,Upper clutch kit,,1HZ,"toyota,genuine",genuine,1821.41,0,80,5
25c550de-15ca-48ad-a1c5-aae89958d19e,90385-13009,Front Link Bush/ Eye Bush,,1HZ,"toyota,genuine",Genuine,1010.09,0,41,5
67f09200-933f-4408-a9bc-546fc8e93bfc,31210-36330,Pressure Plate,,LAND CRUISER 79/ 1KD,"toyota,genuine",MK,196.3,0,70,5
947859a9-0562-4787-ac33-284286d39f88,90916-02452,Fan belt(set),,LAND CRUISER 79,"toyota,genuine",Digue,593.69,0,75,5
b528e970-7f1e-430b-ac69-00b17b652e6c,DT-036V,Clutch plate,,LAND CRUISER 75 Tourist,"toyota,genuine",Japan(Aisin),1555.55,0,41,5
5ce76850-a439-47fe-a7e8-01e33ac44047,35987,Piston rings(STD),,1KD,"toyota,genuine",All Parts,733.83,0,65,5
60279860-d481-457a-8729-a8a35e273e8c,04465-60340,Pad Kit Disc Brake Front,,Prado 1KD,"toyota,genuine",Genuine,261.76,0,41,5
957be62a-a4c4-455c-9f1a-46ae6ae6c771,GUT-20,Universal joint,,LAND CRUISER 79(rear),"toyota,genuine",Digue,1481.58,0,50,5
489898be-60db-4ffa-83f4-94c7b369b918,48511-69676,Shock Absorber(Front),,LAND CRUISER 79,"toyota,genuine",All Parts,1624.82,0,17,5
