PART NUMBER	NAME	MAKE/MODEL	CATEGORY
16361-17040	Fun	LAND CRUISER 79	MK
04371-60060	Universal joint FRONT	LAND CRUISER 70 Series	Genuine
M720AI	Main Bearing(0.50)	1KD/2KD/1KZ	All Parts
17567-17020	Exhaust Mountain	LAND CRUISER 70 Series	Genuine
13711-54050	Exhaust Valve	HIACE 5L	Taiho
Wheel-Nut	LAND CRUISER 79	Genuine	GMB Japan
35892	Piston rings(0.50)	3L	Digue
23380-17541	Feed Pump	LAND CRUISER 79	Koyo japan
13103-30102	Piston(0.50)	LAND CRUISER 79	Genuine
04311-6100	Upper clutch kit	1HZ	genuine
90385-13009	Front Link Bush/ Eye Bush	1HZ	Genuine
31210-36330	Pressure Plate	LAND CRUISER 79/ 1KD	MK
90916-02452	Fan belt(set)	LAND CRUISER 79	Digue
DT-036V	Clutch plate	LAND CRUISER 75 Tourist	Japan(Aisin)
35987	Piston rings(STD)	1KD	All Parts
04465-60340	Pad Kit Disc Brake Front	Prado 1KD	Genuine
GUT-20	Universal joint	LAND CRUISER 79(rear)	Digue
48511-69676	Shock Absorber(Front)	LAND CRUISER 79	All Parts
D2177M-01	Brake Pads	LAND CRUISER 79	Koyo japan
90915-YZZD4	Oil Filter	1KD/2KD	Genuine
31230-60201	Release Bearing	Prado 1KD	Genuine
16571-17020	Hose Pipe(Upper)	LAND CRUISER 79	Genuine
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	555(Japan)
45044-69135	Tie rod Front	LAND CRUISER 79	GMB Japan
DT-068V	Clutch plate	HIACE 5L/3L/ITR/2TR	OSK
48674-26040	Control Arm Bush	7L	Digue
69820-60300	Welding Machine	7L	Genuine
DTX-172	Clutch plate	2KD	MK
33362-60031	hub	LAND CRUISER 79(New model	Digue
T729A	Thrust washer(0.50)	5L/3L	Taiho
90311-35032	Seal (diff)	3L/5L (4x4)	GMB Japan
90501-08212	Compression Spring(0.50)	LAND CRUISER 79	Genuine
T037A	Thrust washer(STD)(0.25)	3L/5L/2L	Taiho
90311-41009	Seal (Rear diff)	1HZ	Genuine
200701	Release Bearing	5L/3L	MK
90385-11021	Rear Link Bush/eye Bush	LAND CRUISER 79	Koyo japan
30308DJR	Diff Bearing	LAND CRUISER 79	Digue
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	GMB Japan
43530-60130	Wheel Hub	LAND CRUISER 79	OSK
36211-60090	Connector shaft	1HZ	Genuine
13101-54101	Piston	3L	All Parts
90385-19003	Rear Shock Bush	7L	Genuine
35892	Piston rings(0.50)	Prado 1KD	Tp(Japan)
04495-60080	Brake Lining	1HZ	Genuine
DT-068V	Clutch plate	LAND CRUISER 75 Tourist	Japan(Aisin)
33037-60050	Synchronizer ring (No 2)(0.50)	LAND CRUISER 79	Genuine
43530-60130	Wheel Hub	Prado 1KD	Aisin(japan)
11701-75033-02	Con Bearing(STD)(0.25)	1TR	Genuine
SB-3972	Ball joint	7L	All Parts
15121-54020	Oil Gear	3L/5L	Digue
33212-35032	Fork (Number 1)	LAND CRUISER 79	GMB Japan
D2177M-01	Brake Pads	5L/3L	MK
17567-61030	Exhaust Mountain	LAND CRUISER 79	Digue
31204-36110	Fork	LAND CRUISER 70 Series	Genuine
CTX--064	Pressure Plate	5L/3L	Digue
90215-42025	Stopper axle Washer	LAND CRUISER 79	Taiho
90311-85009	Seal(Rear crunk shaft)	3L/5L	Koyo japan
69058-60141	Fuel cap	LAND CRUISER 79	Digue
48824-60130	Bracket(Right)	5L/3L	Genuine
09340-6280	Nozzle	7L	Denso
47062-60020	Adjuster(Left hand)	LAND CRUISER 70 Series	Genuine
90389-22003	Rear Spring Bush	LAND CRUISER 79	Koyo japan
90364-38011	Needle Bearing(gear)	Prado 1KD	Genuine
90363-35030	Transfer Input Bearing	1HZ	Genuine
GWT-91A	Water Pump	LAND CRUISER 70 Series	GMB Japan
33366-35050	Synchromesh key/lock	LAND CRUISER 79	Genuine
13715-17010	Exhaust Valve	LAND CRUISER 79	Aisin
48706-60030	Hard Pan Bush	LAND CRUISER 79	Aisin
90915-03006	Oil Filter	LAND CRUISER 75 Tourist	OSK
90999-70067	Copper bush	LAND CRUISER 79	Digue
54560-01j00	Big Arm bush	Prado 1KD	Genuine
53420-60100	bonnet hinge	LAND CRUISER 79 Left hand)	Digue
47910-35420	Compensiator	Prado 1KD	Genuine
48061-60050	Small Arm bush	LAND CRUISER 75 Tourist	Genuine
53510-60220	Bonnet Lock	LAND CRUISER 79	MK
220-40582	Clutch kit Lower	5L/3L	MK
48802-60120	Link	LAND CRUISER 79	Genuine
13568-19195	Timing Belt	7L	Genuine
16100-39486	Water Pump	LAND CRUISER 75 Tourist	Genuine
M087H	Main Bearing(0.25)	LAND CRUISER 79	Taiho
GWT-91A	Water Pump	LAND CRUISER 79	All Parts
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	Koyo japan
12649/10	front Wheel Bearing	7L	Koyo japan
90915-30002-8T	Oil Filter	LAND CRUISER 79/5L	Koyo japan
