uuid,part_number,name,description,vehicle_engine,tags,make,aed_buying_price,selling_price,stock_qty,min_stock
1cd17232-d708-436b-a853-cba883e64938,31210-36160,Clutch Pressure Plate Gearbox Japan OEM 1KD-FTV,275mm Clutch Cover Assembly - Genuine Toyota / Gearbox Japan OEM - 1KD-FTV engine,"Land Cruiser 70/75/79 Series, Prado - 1KD-FTV","clutch,pressureplate,1hz,genuine,japan,gearbox",Genuine Toyota Japan,71.89,204.89,32,5
58729616-0a71-42a3-b9f0-d1d06d920232,31210-36160-0.201,Clutch Pressure Plate Hub LH 0.25 5L-E,275mm Clutch Cover Assembly - Genuine Toyota / Hub LH 0.25 - 5L-E engine,"Land Cruiser 70/75/79 Series, Prado - 5L-E","clutch,pressureplate,1hz,genuine,japan,hub lh",Genuine Toyota Japan,837.99,2388.27,33,5
c7b02a9a-f8eb-46da-a201-416c02956734,31210-36160-Hea02,Clutch Pressure Plate Hub RH Heavy Duty 1HDT,275mm Clutch Cover Assembly - Genuine Toyota / Hub RH Heavy Duty - 1HDT engine,"Land Cruiser 70/75/79 Series, Prado - 1HDT","clutch,pressureplate,1hz,genuine,japan,hub rh",Genuine Toyota Japan,742.99,2117.52,60,5
01bba6f6-6c3c-4829-b54d-4b5a40a2bee4,31210-36160-0.203,Clutch Pressure Plate Gearbox 0.25 5L-E,275mm Clutch Cover Assembly - Genuine Toyota / Gearbox 0.25 - 5L-E engine,"Land Cruiser 70/75/79 Series, Prado - 5L-E","clutch,pressureplate,1hz,genuine,japan,gearbox",Genuine Toyota Japan,480.85,1370.42,9,5
a54e6d8a-e458-4d5d-8ef4-26f4c20cdd38,31210-36160-Kit04,Clutch Pressure Plate Transfer Input Kit 7L,275mm Clutch Cover Assembly - Genuine Toyota / Transfer Input Kit - 7L engine,"Land Cruiser 70/75/79 Series, Prado - 7L","clutch,pressureplate,1hz,genuine,japan,transfer input",Genuine Toyota Japan,762.59,2173.38,63,5
47a8dd3f-84fc-466f-8b64-ccb9b8b0fb1b,31210-36160-0.505,Clutch Pressure Plate Gearbox 0.50 1KD-FTV,275mm Clutch Cover Assembly - Genuine Toyota / Gearbox 0.50 - 1KD-FTV engine,"Land Cruiser 70/75/79 Series, Prado - 1KD-FTV","clutch,pressureplate,1hz,genuine,japan,gearbox",Genuine Toyota Japan,677.38,1930.53,29,5
c3f7a634-09ca-466e-a72b-56d0331f8662,31210-36160-Jap06,Clutch Pressure Plate Transfer Output Japan OEM 5L-E,275mm Clutch Cover Assembly - Genuine Toyota / Transfer Output Japan OEM - 5L-E engine,"Land Cruiser 70/75/79 Series, Prado - 5L-E","clutch,pressureplate,1hz,genuine,japan,transfer output",Genuine Toyota Japan,620.53,1768.51,46,5
3feeb345-a892-45ae-8dbd-d54c98e85102,31210-36160-0.507,Clutch Pressure Plate Hub LH 0.50 1HZ,275mm Clutch Cover Assembly - Genuine Toyota / Hub LH 0.50 - 1HZ engine,"Land Cruiser 70/75/79 Series, Prado - 1HZ","clutch,pressureplate,1hz,genuine,japan,hub lh",Genuine Toyota Japan,471.42,1343.55,6,5
c622f4ff-afbf-40ec-9dea-392441538e95,31210-36160-Jap08,Clutch Pressure Plate Rear Japan OEM 1HDT,275mm Clutch Cover Assembly - Genuine Toyota / Rear Japan OEM - 1HDT engine,"Land Cruiser 70/75/79 Series, Prado - 1HDT","clutch,pressureplate,1hz,genuine,japan,rear",Genuine Toyota Japan,370.41,1055.67,50,5
8e319ba5-2ed7-49d4-ac18-5c2455751b0f,31210-36160-Kit09,Clutch Pressure Plate Front Outer Kit VDJ79,275mm Clutch Cover Assembly - Genuine Toyota / Front Outer Kit - VDJ79 engine,"Land Cruiser 70/75/79 Series, Prado - VDJ79","clutch,pressureplate,1hz,genuine,japan,front outer",Genuine Toyota Japan,364.94,1040.08,46,5
